Date,Open,High,Low,Close,Volume
3/5/21,26.02,26.13,24.12,25.71,"10,591,940"
3/4/21,26.61,26.64,25.05,25.8,"10,371,870"
3/3/21,26.5,26.88,26.34,26.55,"6,720,476"
3/2/21,26.34,26.4,25.97,26.23,"4,733,434"
3/1/21,26.83,26.93,26.13,26.24,"9,924,387"
2/26/21,25.88,26.47,25.63,26.11,"8,611,327"
2/25/21,27.23,27.24,25.64,26.07,"9,756,966"
2/24/21,26.46,27.33,26.44,27.02,"10,498,490"
2/23/21,26.2,26.56,25.11,26.42,"14,283,880"
2/22/21,25.31,26.21,25,25.68,"12,482,000"
2/19/21,24.31,24.97,24.3,24.82,"6,602,652"
2/18/21,24.08,24.15,23.67,24.11,"3,765,578"
2/17/21,23.93,24.36,23.74,24.36,"8,270,522"
2/16/21,24,24.05,23.72,23.99,"6,129,757"
2/12/21,23.34,23.66,23.27,23.56,"3,140,382"
2/11/21,23.52,23.56,23.07,23.42,"3,039,359"
2/10/21,23.66,23.71,23.35,23.55,"3,058,655"
2/9/21,23.66,23.67,23.31,23.49,"3,217,347"
2/8/21,23.2,23.86,23.18,23.7,"4,756,144"
2/5/21,23.16,23.21,22.85,23.05,"4,372,207"
2/4/21,22.33,23,22.31,22.89,"4,774,566"
2/3/21,21.93,22.45,21.86,22.38,"3,095,130"
2/2/21,21.81,21.95,21.68,21.83,"4,463,425"
2/1/21,21.57,21.64,21.21,21.52,"3,039,720"
1/29/21,22,22.07,21.14,21.38,"6,033,528"
1/28/21,22.38,22.78,21.73,22.07,"8,707,243"
1/27/21,21.33,21.79,21.26,21.38,"5,833,201"
1/26/21,21.79,21.98,21.69,21.74,"9,562,176"
1/25/21,21.9,22,21.33,21.7,"10,069,530"
1/22/21,22.11,22.25,21.89,22.25,"5,572,148"
1/21/21,22.67,22.67,22.07,22.38,"5,945,147"
1/20/21,22.71,22.85,22.5,22.8,"3,875,029"
1/19/21,22.56,22.68,22.35,22.46,"4,272,992"
1/15/21,22.95,22.97,22.26,22.28,"8,108,062"
1/14/21,22.66,23.25,22.65,23.06,"8,089,403"
1/13/21,22.3,22.42,22.01,22.32,"3,829,320"
1/12/21,21.91,22.35,21.82,22.3,"4,552,176"
1/11/21,21.86,22.02,21.7,21.88,"4,274,629"
1/8/21,22.5,22.5,22.01,22.2,"3,101,255"
1/7/21,22.4,22.55,22.29,22.35,"4,362,271"
1/6/21,21.96,22.52,21.9,22.28,"5,021,817"
1/5/21,21.41,22.13,21.33,21.95,"4,620,282"
1/4/21,22.58,22.58,21.47,21.59,"6,310,108"
12/31/20,22.51,22.51,22.18,22.38,"4,422,105"
12/30/20,22.33,22.64,22.25,22.47,"3,567,981"
12/29/20,22.56,22.61,22.18,22.23,"3,651,035"
12/28/20,22.49,22.59,22.31,22.33,"3,227,166"
12/24/20,22.37,22.42,22,22.16,"2,603,276"
12/23/20,21.75,22.38,21.75,22.24,"3,642,426"
12/22/20,22.1,22.16,21.61,21.66,"5,501,583"
12/21/20,21.7,22.11,21.55,22.01,"11,655,400"
12/18/20,22.7,22.73,22.38,22.53,"5,456,812"
12/17/20,22.88,22.88,22.55,22.76,"5,523,147"
12/16/20,22.89,22.91,22.56,22.71,"4,180,806"
12/15/20,22.84,23.06,22.4,23.04,"5,050,104"
12/14/20,23.33,23.36,22.58,22.59,"5,530,383"
12/11/20,23.36,23.37,22.66,22.96,"6,088,033"
12/10/20,22.84,23.52,22.8,23.46,"4,065,562"
12/9/20,23.79,23.86,22.8,23.17,"7,314,522"
12/8/20,23.43,23.71,23.3,23.48,"4,014,047"
12/7/20,23.58,23.78,23.35,23.44,"6,051,701"
12/4/20,23.8,24.05,23.39,23.51,"6,861,679"
12/3/20,22.96,23.98,22.93,23.59,"13,538,970"
12/2/20,22.39,22.77,22.02,22.73,"5,391,287"
12/1/20,22.58,22.73,22.36,22.41,"6,252,920"
11/30/20,22.64,22.7,21.82,22.03,"6,733,241"
11/27/20,22.85,22.94,22.57,22.64,"3,562,987"
11/25/20,22.5,22.69,22.1,22.64,"6,349,423"
11/24/20,22.1,22.58,21.91,22.56,"16,199,630"
11/23/20,21.01,21.43,20.93,21.42,"5,615,982"
11/20/20,21.07,21.11,20.68,20.76,"4,095,582"
11/19/20,21,21.13,20.82,21.06,"3,950,105"
11/18/20,21.21,21.55,21,21,"7,668,655"
11/17/20,20.66,21.07,20.43,20.9,"5,810,068"
11/16/20,21.18,21.25,20.58,20.91,"10,595,160"
11/13/20,19.45,20.15,19.45,20.15,"6,908,573"
11/12/20,19.43,19.83,19.11,19.23,"7,192,978"
11/11/20,20.34,20.34,19.61,19.76,"5,919,798"
11/10/20,20.29,20.59,20.02,20.29,"9,248,367"
11/9/20,21.55,22.13,19.84,20.61,"27,722,650"
11/6/20,17.85,17.9,17.66,17.75,"2,721,213"
11/5/20,17.4,18.04,17.39,18,"4,145,079"
11/4/20,17.25,17.56,17,17.19,"3,647,990"
11/3/20,17.23,17.4,17.2,17.26,"2,813,298"
11/2/20,17,17.02,16.73,16.94,"1,844,972"
10/30/20,16.79,16.98,16.57,16.92,"2,696,667"
10/29/20,16.5,16.98,16.46,16.93,"2,949,101"
10/28/20,16.83,16.92,16.34,16.51,"6,348,824"
10/27/20,17.8,17.8,17.25,17.28,"3,089,434"
10/26/20,18.32,18.35,17.57,17.78,"6,679,249"
10/23/20,18.52,18.71,18.33,18.68,"4,944,807"
10/22/20,17.82,18.57,17.82,18.53,"5,440,633"
10/21/20,17.97,17.97,17.75,17.8,"2,526,938"
10/20/20,17.85,18.14,17.82,17.96,"3,826,372"
10/19/20,17.66,17.99,17.57,17.68,"4,838,792"
10/16/20,17.5,17.56,17.35,17.49,"1,913,093"
10/15/20,17.29,17.42,17.08,17.41,"3,032,608"
10/14/20,17.57,17.79,17.54,17.56,"2,338,703"
10/13/20,17.69,17.7,17.46,17.52,"5,412,282"
10/12/20,18.01,18.04,17.81,17.91,"6,777,774"
10/9/20,18,18.18,17.75,17.99,"4,828,033"
10/8/20,17.94,18.07,17.56,17.96,"6,049,104"
10/7/20,17.58,17.73,17.48,17.65,"3,637,931"
10/6/20,17.68,17.87,17.14,17.17,"6,026,951"
10/5/20,17.51,17.58,17.27,17.46,"2,919,906"
10/2/20,16.56,17.55,16.52,17.33,"7,468,266"
10/1/20,17.07,17.2,16.91,17.12,"2,677,077"
9/30/20,16.99,17.43,16.85,16.9,"3,489,192"
9/29/20,17.22,17.24,16.77,16.86,"2,874,781"
9/28/20,17.16,17.58,17.04,17.3,"3,811,000"
9/25/20,16.53,16.77,16.34,16.76,"2,851,700"
9/24/20,16.51,16.78,16.02,16.56,"5,246,328"
9/23/20,17.21,17.41,16.68,16.7,"4,439,553"
9/22/20,17.01,17.23,16.81,17.02,"5,992,224"
9/21/20,17.48,17.5,16.76,16.98,"6,609,544"
9/18/20,18.61,18.63,18.02,18.15,"4,334,442"
9/17/20,18.52,19.02,18.47,18.69,"4,297,084"
9/16/20,18.46,19.14,18.26,18.89,"6,385,126"
9/15/20,18.46,18.72,18.28,18.4,"5,364,440"
9/14/20,18.16,18.36,18.02,18.33,"4,051,367"
9/11/20,18.01,18.05,17.75,17.93,"4,088,364"
9/10/20,18.1,18.36,17.87,17.94,"6,733,699"
9/9/20,18.23,18.24,17.75,17.97,"5,379,506"
