Date,Open,High,Low,Close,Volume
3/5/21,347.15,349.33,335.6,348.4,"1,013,371"
3/4/21,350.68,353.02,338.46,342.85,"1,144,334"
3/3/21,360.8,361.48,351.38,351.82,"555,040"
3/2/21,369.18,369.57,361.5,361.75,"442,195"
3/1/21,362.5,368.65,360.91,368.26,"668,116"
2/26/21,357.54,361.66,352.5,356.5,"659,800"
2/25/21,364.95,367.29,352.66,353.97,"675,948"
2/24/21,360.66,368.02,356.8,367.62,"671,264"
2/23/21,358,364.82,350.31,362.63,"1,148,959"
2/22/21,369.05,370.07,364.44,364.71,"488,646"
2/19/21,375.62,376.33,372.05,373.81,"301,937"
2/18/21,371.05,374.05,368.49,373.36,"366,237"
2/17/21,375.75,376,371,375.08,"445,216"
2/16/21,382.13,382.73,377.63,379.14,"424,784"
2/12/21,377.74,380.79,376.31,380.61,"297,300"
2/11/21,376.69,378.66,375.15,378.48,"555,466"
2/10/21,376.79,377.22,371.23,374.4,"392,541"
2/9/21,373.87,376.35,373.87,375.07,"554,642"
2/8/21,372.62,375,372,374.95,"406,313"
2/5/21,372.22,372.22,369.43,370.7,"363,641"
2/4/21,366.49,370.63,365.51,370.63,"377,784"
2/3/21,367.12,367.36,363.39,364.51,"417,219"
2/2/21,364.1,366.76,363.4,365.86,"452,187"
2/1/21,355.43,361.63,352.99,360.12,"697,787"
1/29/21,357.97,359.09,349.25,351.3,"990,737"
1/28/21,359.75,365,358.58,359.64,"469,275"
1/27/21,363.15,364,354.57,357.74,"1,350,942"
1/26/21,367.58,367.95,364.38,365.07,"793,950"
1/25/21,368.18,369.52,357.41,366.24,"784,946"
1/22/21,363.05,365.17,362.41,363.79,"462,010"
1/21/21,362.83,365.81,360.63,364.86,"455,810"
1/20/21,356.79,361.69,356.79,360.68,"495,175"
1/19/21,352.1,354.65,350.96,353.98,"503,090"
1/15/21,352.93,354.65,348.8,349.62,"519,729"
1/14/21,356.53,357.66,352.84,353.34,"418,725"
1/13/21,354.09,356.9,353.52,355.56,"484,156"
1/12/21,354.34,354.91,350.24,353.79,"1,820,934"
1/11/21,354.65,356.95,352.42,354.31,"665,202"
1/8/21,357,358.67,353.5,357.36,"539,738"
1/7/21,348.59,355.55,348.54,354.77,"558,361"
1/6/21,346.07,351.4,343.89,344.95,"780,698"
1/5/21,347.05,350.92,347.01,350.77,"445,994"
1/4/21,355.38,355.53,343.15,347.91,"810,171"
12/31/20,353.7,354.39,351.1,353.79,"411,043"
12/30/20,354.55,355.08,352.84,353.48,"354,644"
12/29/20,357.24,357.69,352.33,353.01,"532,899"
12/28/20,356.25,356.48,353.48,355.36,"607,610"
12/24/20,351.27,353.67,351.27,352.88,"182,443"
12/23/20,354.47,354.86,350.5,350.55,"388,665"
12/22/20,352.16,355.07,350.79,353.77,"525,129"
12/21/20,345.77,350.16,342.56,349.99,"603,608"
12/18/20,350.77,350.81,347.45,349.06,"378,216"
12/17/20,349.26,350.49,348.33,350,"487,619"
12/16/20,345.59,348.35,344.46,347.53,"372,971"
12/15/20,342.81,345.02,341.21,345.02,"470,274"
12/14/20,339.36,342.16,339.17,339.38,"308,580"
12/11/20,336.49,338,334.08,337.93,"423,996"
12/10/20,334.89,339.87,334.11,338.53,"796,332"
12/9/20,344.19,344.91,335.75,337.04,"938,299"
12/8/20,342.45,345.26,341.29,344.1,"417,064"
12/7/20,341.83,343.56,341.49,342.55,"448,781"
12/4/20,338.66,341.7,338.03,341.7,"369,408"
12/3/20,338.31,340.25,337.24,337.91,"288,366"
